CST	Descrição
----    --------------------------------------------------------------------------------
00	TRIBUTADA INTEGRALMENTE.
10	TRIBUTADA E COM COBRANÇA DO ICMS POR SUBSTITUIÇÃO TRIBUTÁRIA
20	COM REDUÇÃO DE BASE DE CÁLCULO
30	ISENTA OU NÃO TRIBUTADA E COM COBRANÇA DO ICMS POR SUBSTITUIÇÃO TRIBUTÁRIA
40	ISENTA
41	NÃO TRIBUTADA
50	SUSPENSÃO
51	DIFERIMENTO
60	ICMS COBRADO ANTERIORMENTE POR SUBSTITUIÇÃO TRIBUTÁRIA
70	COM REDUÇÃO DE BASE DE CÁLCULO E COBRANÇA DO ICMS POR SUBSTITUIÇÃO TRIBUTÁRIA
90	OUTRAS
